k,stage,disk,a0,a1,b
4,43,2,-0.926164,-0.377122,3.10776
4,44,0,-0.999999,0.00103763,5.98434
4,44,1,-0.944685,0.327979,3.42962
4,44,2,-0.926164,-0.377122,3.10776
5,0,0,-1,-8.29664e-05,5.98136
5,0,1,-0.952495,0.304553,3.38141
5,0,2,-0.93416,-0.356856,3.07941
5,1,0,-1,-7.94514e-05,5.98136
5,1,1,-0.958529,0.284994,3.38015
5,1,2,-0.943019,-0.332738,3.07757
5,2,0,-1,-8.08145e-05,5.98136
5,2,1,-0.95627,0.292487,3.38084
5,2,2,-0.939713,-0.341965,3.07858
5,3,0,-1,-8.26034e-05,5.98136
5,3,1,-0.95315,0.302497,3.38136
5,3,2,-0.935126,-0.354316,3.07934
5,4,0,-1,-8.35675e-05,5.98136
5,4,1,-0.951394,0.307976,3.38144
5,4,2,-0.932532,-0.361086,3.07946
5,5,0,-1,-8.38303e-05,5.98136
5,5,1,-0.950906,0.30948,3.38144
5,5,2,-0.93181,-0.362946,3.07946
5,6,0,-1,-8.37945e-05,5.98136
5,6,1,-0.950973,0.309275,3.38144
5,6,2,-0.931909,-0.362692,3.07946
5,7,0,-1,-8.37105e-05,5.98136
5,7,1,-0.951129,0.308794,3.38144
5,7,2,-0.93214,-0.362098,3.07946
5,8,0,-1,-8.36599e-05,5.98136
5,8,1,-0.951223,0.308504,3.38144
5,8,2,-0.932279,-0.361739,3.07946
5,9,0,-1,-8.36433e-05,5.98136
5,9,1,-0.951254,0.30841,3.38144
5,9,2,-0.932325,-0.361622,3.07946
5,10,0,-1,-8.36431e-05,5.98136
5,10,1,-0.951254,0.308408,3.38144
5,10,2,-0.932325,-0.361621,3.07946
5,11,0,-1,-8.36467e-05,5.98136
5,11,1,-0.951247,0.308429,3.38144
5,11,2,-0.932316,-0.361646,3.07946
5,12,0,-1,-8.36492e-05,5.98136
5,12,1,-0.951243,0.308443,3.38144
5,12,2,-0.932309,-0.361664,3.07946
5,13,0,-1,-8.36502e-05,5.98136
5,13,1,-0.951241,0.308449,3.38144
5,13,2,-0.932306,-0.361671,3.07946
5,14,0,-1,-8.36503e-05,5.98136
5,14,1,-0.951241,0.308449,3.38144
5,14,2,-0.932306,-0.361672,3.07946
5,15,0,-1,-8.36501e-05,5.98136
5,15,1,-0.951241,0.308449,3.38144
5,15,2,-0.932306,-0.361671,3.07946
5,16,0,-1,-8.365e-05,5.98136
5,16,1,-0.951241,0.308448,3.38144
5,16,2,-0.932306,-0.36167,3.07946
5,17,0,-1,-8.365e-05,5.98136
5,17,1,-0.951241,0.308448,3.38144
5,17,2,-0.932306,-0.361669,3.07946
5,18,0,-1,-8.36499e-05,5.98136
5,18,1,-0.951241,0.308447,3.38144
5,18,2,-0.932306,-0.361669,3.07946
5,19,0,-1,-8.365e-05,5.98136
5,19,1,-0.951241,0.308448,3.38144
5,19,2,-0.932306,-0.361669,3.07946
5,20,0,-1,-8.365e-05,5.98136
5,20,1,-0.951241,0.308448,3.38144
5,20,2,-0.932306,-0.361669,3.07946
5,21,0,-1,-8.365e-05,5.98136
5,21,1,-0.951241,0.308448,3.38144
5,21,2,-0.932306,-0.361669,3.07946
5,22,0,-1,-8.365e-05,5.98136
5,22,1,-0.951241,0.308448,3.38144
5,22,2,-0.932306,-0.361669,3.07946
5,23,0,-1,-8.365e-05,5.98136
5,23,1,-0.951241,0.308448,3.38144
5,23,2,-0.932306,-0.361669,3.07946
5,24,0,-1,-8.365e-05,5.98136
5,24,1,-0.951241,0.308448,3.38144
