replan_step,i,x1,x2,x3,x4
50,27,1.44273,0.14683,0.0641317,0.00422111
50,28,1.50475,0.15069,0.0599005,0.00350029
50,29,1.56466,0.153347,0.0599335,0.00181301
50,30,1.62384,0.155732,0.0584261,0.00295602
50,31,1.68174,0.15942,0.0573587,0.00442028
50,32,1.73876,0.16456,0.0566872,0.00586088
50,33,1.79541,0.170658,0.0566066,0.0063335
50,34,1.85207,0.176864,0.0567276,0.00607948
50,35,1.90875,0.182733,0.0566328,0.00565904
50,36,1.96538,0.188314,0.0566171,0.00550263
50,37,2.02216,0.193872,0.0569479,0.00561387
50,38,2.07909,0.199507,0.0569034,0.00565556
50,39,2.13598,0.205146,0.0568832,0.00562308
50,40,2.19289,0.210729,0.0569314,0.00554277
50,41,2.24983,0.216257,0.0569587,0.00551191
50,42,2.30679,0.221753,0.0569597,0.00548015
50,43,2.36375,0.227225,0.0569634,0.00546515
50,44,2.42072,0.232687,0.0569696,0.00545787
55,0,-12.2134,11.444,2.27578,-1.57454
55,1,-10.0975,11.1138,1.95593,0.91412
55,2,-9.64157,13.479,-1.04407,3.81631
55,3,-10.8793,15.7953,-1.43133,0.816311
55,4,-11.6632,15.4258,-0.136455,-1.55531
55,5,-11.2119,13.2822,1.03899,-2.73192
55,6,-9.15435,10.8889,3.0761,-2.05467
55,7,-5.90594,8.50789,3.42071,-2.7073
55,8,-2.93473,5.97933,2.52171,-2.34982
55,9,-0.805383,3.87636,1.73699,-1.85612
